item,itemLabel,count,date
Q6173448,Wikipedia:Vital articles/Level/4,12,2024-07-13
Q5460604,Wikipedia:List of articles all languages should have,7,2024-07-13
Q54439832,WikiProject Zika Corpus,2,2024-07-13
Q11134020,WikiProject Brazil,1,2024-07-13
Q13382529,WikiProject Human Rights,1,2024-07-13
Q15304953,WikiProject African diaspora,1,2024-07-13
Q4099686,WikiProject Medicine,1,2024-07-13
Q15885138,WikiProject United Nations,1,2024-07-13
Q6871603,WikiProject Germany,1,2024-07-13
Q87748614,WikiProject COVID-19,1,2024-07-13
Q6173448,Wikipedia:Vital articles/Level/4,12,2024-07-14
Q5460604,Wikipedia:List of articles all languages should have,7,2024-07-14
Q54439832,WikiProject Zika Corpus,2,2024-07-14
Q11134020,WikiProject Brazil,1,2024-07-14
Q13382529,WikiProject Human Rights,1,2024-07-14
Q15304953,WikiProject African diaspora,1,2024-07-14
Q4099686,WikiProject Medicine,1,2024-07-14
Q15885138,WikiProject United Nations,1,2024-07-14
Q6871603,WikiProject Germany,1,2024-07-14
Q87748614,WikiProject COVID-19,1,2024-07-14
Q6173448,Wikipedia:Vital articles/Level/4,12,2024-07-15
Q5460604,Wikipedia:List of articles all languages should have,7,2024-07-15
Q54439832,WikiProject Zika Corpus,2,2024-07-15
Q11134020,WikiProject Brazil,1,2024-07-15
Q13382529,WikiProject Human Rights,1,2024-07-15
Q15304953,WikiProject African diaspora,1,2024-07-15
Q4099686,WikiProject Medicine,1,2024-07-15
Q15885138,WikiProject United Nations,1,2024-07-15
Q6871603,WikiProject Germany,1,2024-07-15
Q87748614,WikiProject COVID-19,1,2024-07-15
Q6173448,Wikipedia:Vital articles/Level/4,12,2024-07-16
Q5460604,Wikipedia:List of articles all languages should have,7,2024-07-16
Q54439832,WikiProject Zika Corpus,2,2024-07-16
Q11134020,WikiProject Brazil,1,2024-07-16
Q13382529,WikiProject Human Rights,1,2024-07-16
Q15304953,WikiProject African diaspora,1,2024-07-16
Q4099686,WikiProject Medicine,1,2024-07-16
Q15885138,WikiProject United Nations,1,2024-07-16
Q6871603,WikiProject Germany,1,2024-07-16
Q87748614,WikiProject COVID-19,1,2024-07-16
Q6173448,Wikipedia:Vital articles/Level/4,12,2024-07-17
Q5460604,Wikipedia:List of articles all languages should have,7,2024-07-17
Q54439832,WikiProject Zika Corpus,2,2024-07-17
Q11134020,WikiProject Brazil,1,2024-07-17
Q13382529,WikiProject Human Rights,1,2024-07-17
Q15304953,WikiProject African diaspora,1,2024-07-17
Q4099686,WikiProject Medicine,1,2024-07-17
Q15885138,WikiProject United Nations,1,2024-07-17
Q6871603,WikiProject Germany,1,2024-07-17
Q87748614,WikiProject COVID-19,1,2024-07-17
Q6173448,Wikipedia:Vital articles/Level/4,12,2024-07-18
Q5460604,Wikipedia:List of articles all languages should have,7,2024-07-18
Q54439832,WikiProject Zika Corpus,2,2024-07-18
Q11134020,WikiProject Brazil,1,2024-07-18
Q13382529,WikiProject Human Rights,1,2024-07-18
Q15304953,WikiProject African diaspora,1,2024-07-18
Q4099686,WikiProject Medicine,1,2024-07-18
Q15885138,WikiProject United Nations,1,2024-07-18
Q6871603,WikiProject Germany,1,2024-07-18
Q87748614,WikiProject COVID-19,1,2024-07-18
Q6173448,Wikipedia:Vital articles/Level/4,12,2024-07-19
Q5460604,Wikipedia:List of articles all languages should have,7,2024-07-19
Q54439832,WikiProject Zika Corpus,2,2024-07-19
