item,itemLabel,count,date
Q11046953,WikiProject Malaysia,1,2024-08-15
Q54439832,WikiProject Zika Corpus,1,2024-08-15
Q6173448,Wikipedia:Vital articles/Level/4,1,2024-08-15
Q11046953,WikiProject Malaysia,1,2024-08-16
Q54439832,WikiProject Zika Corpus,1,2024-08-16
Q6173448,Wikipedia:Vital articles/Level/4,1,2024-08-16
Q11046953,WikiProject Malaysia,1,2024-08-17
Q54439832,WikiProject Zika Corpus,1,2024-08-17
Q6173448,Wikipedia:Vital articles/Level/4,1,2024-08-17
Q11046953,WikiProject Malaysia,1,2024-08-18
Q54439832,WikiProject Zika Corpus,1,2024-08-18
Q6173448,Wikipedia:Vital articles/Level/4,1,2024-08-18
Q11046953,WikiProject Malaysia,1,2024-08-19
Q54439832,WikiProject Zika Corpus,1,2024-08-19
Q6173448,Wikipedia:Vital articles/Level/4,1,2024-08-19
Q11046953,WikiProject Malaysia,1,2024-08-20
Q54439832,WikiProject Zika Corpus,1,2024-08-20
Q6173448,Wikipedia:Vital articles/Level/4,1,2024-08-20
Q11046953,WikiProject Malaysia,1,2024-08-21
Q54439832,WikiProject Zika Corpus,1,2024-08-21
Q6173448,Wikipedia:Vital articles/Level/4,1,2024-08-21
