item,itemLabel,count,date
Q6173448,Wikipedia:Vital articles/Level/4,5,2024-07-13
Q5460604,Wikipedia:List of articles all languages should have,3,2024-07-13
Q54439832,WikiProject Zika Corpus,1,2024-07-13
Q6173448,Wikipedia:Vital articles/Level/4,5,2024-07-14
Q5460604,Wikipedia:List of articles all languages should have,3,2024-07-14
Q54439832,WikiProject Zika Corpus,1,2024-07-14
Q6173448,Wikipedia:Vital articles/Level/4,5,2024-07-15
Q5460604,Wikipedia:List of articles all languages should have,3,2024-07-15
Q54439832,WikiProject Zika Corpus,1,2024-07-15
Q6173448,Wikipedia:Vital articles/Level/4,5,2024-07-16
Q5460604,Wikipedia:List of articles all languages should have,3,2024-07-16
Q54439832,WikiProject Zika Corpus,1,2024-07-16
