item,itemLabel,count,date
Q6173448,Wikipedia:Vital articles/Level/4,49,2024-07-13
Q5460604,Wikipedia:List of articles all languages should have,35,2024-07-13
Q59956276,WikiProject Performing arts,2,2024-07-13
Q10857957,WikiProject Linguistics,1,2024-07-13
Q10816832,WikiProject France,1,2024-07-13
Q24909800,Art+Feminism,1,2024-07-13
Q14942918,WikiProject Theatre,1,2024-07-13
Q10858450,WikiProject Psychology,1,2024-07-13
Q4099686,WikiProject Medicine,1,2024-07-13
Q59078412,WikiProject French,1,2024-07-13
Q5830855,WikiProject Music,1,2024-07-13
Q6526225,WikiProject Computer Science,1,2024-07-13
Q6723002,WikiProject Biology,1,2024-07-13
Q7212331,WikiProject Economics,1,2024-07-13
Q8001410,WikiProject Sports,1,2024-07-13
Q8486941,WikiProject Law,1,2024-07-13
Q8487137,WikiProject Mathematics,1,2024-07-13
Q8487234,WikiProject Chemistry,1,2024-07-13
Q8503311,WikiProject Philosophy,1,2024-07-13
Q87748614,WikiProject COVID-19,1,2024-07-13
Q9497549,WikiProject Technology,1,2024-07-13
Q6173448,Wikipedia:Vital articles/Level/4,49,2024-07-14
Q5460604,Wikipedia:List of articles all languages should have,35,2024-07-14
Q59956276,WikiProject Performing arts,2,2024-07-14
Q10857957,WikiProject Linguistics,1,2024-07-14
Q10816832,WikiProject France,1,2024-07-14
Q24909800,Art+Feminism,1,2024-07-14
Q14942918,WikiProject Theatre,1,2024-07-14
Q10858450,WikiProject Psychology,1,2024-07-14
Q4099686,WikiProject Medicine,1,2024-07-14
Q59078412,WikiProject French,1,2024-07-14
Q5830855,WikiProject Music,1,2024-07-14
Q6526225,WikiProject Computer Science,1,2024-07-14
Q6723002,WikiProject Biology,1,2024-07-14
Q7212331,WikiProject Economics,1,2024-07-14
Q8001410,WikiProject Sports,1,2024-07-14
Q8486941,WikiProject Law,1,2024-07-14
Q8487137,WikiProject Mathematics,1,2024-07-14
Q8487234,WikiProject Chemistry,1,2024-07-14
Q8503311,WikiProject Philosophy,1,2024-07-14
Q87748614,WikiProject COVID-19,1,2024-07-14
Q9497549,WikiProject Technology,1,2024-07-14
Q6173448,Wikipedia:Vital articles/Level/4,49,2024-07-15
Q5460604,Wikipedia:List of articles all languages should have,35,2024-07-15
Q59956276,WikiProject Performing arts,2,2024-07-15
Q10857957,WikiProject Linguistics,1,2024-07-15
Q10816832,WikiProject France,1,2024-07-15
Q24909800,Art+Feminism,1,2024-07-15
Q14942918,WikiProject Theatre,1,2024-07-15
Q10858450,WikiProject Psychology,1,2024-07-15
Q4099686,WikiProject Medicine,1,2024-07-15
Q59078412,WikiProject French,1,2024-07-15
Q5830855,WikiProject Music,1,2024-07-15
Q6526225,WikiProject Computer Science,1,2024-07-15
Q6723002,WikiProject Biology,1,2024-07-15
Q7212331,WikiProject Economics,1,2024-07-15
Q8001410,WikiProject Sports,1,2024-07-15
Q8486941,WikiProject Law,1,2024-07-15
Q8487137,WikiProject Mathematics,1,2024-07-15
Q8487234,WikiProject Chemistry,1,2024-07-15
Q8503311,WikiProject Philosophy,1,2024-07-15
