item,itemLabel,count,date
Q6173448,Wikipedia:Vital articles/Level/4,5,2024-07-13
Q5460604,Wikipedia:List of articles all languages should have,2,2024-07-13
Q6173448,Wikipedia:Vital articles/Level/4,5,2024-07-14
Q5460604,Wikipedia:List of articles all languages should have,2,2024-07-14
Q6173448,Wikipedia:Vital articles/Level/4,5,2024-07-15
Q5460604,Wikipedia:List of articles all languages should have,2,2024-07-15
Q6173448,Wikipedia:Vital articles/Level/4,5,2024-07-16
Q5460604,Wikipedia:List of articles all languages should have,2,2024-07-16
Q6173448,Wikipedia:Vital articles/Level/4,5,2024-07-17
Q5460604,Wikipedia:List of articles all languages should have,2,2024-07-17
Q6173448,Wikipedia:Vital articles/Level/4,5,2024-07-18
Q5460604,Wikipedia:List of articles all languages should have,2,2024-07-18
Q6173448,Wikipedia:Vital articles/Level/4,5,2024-07-19
Q5460604,Wikipedia:List of articles all languages should have,2,2024-07-19
Q6173448,Wikipedia:Vital articles/Level/4,5,2024-07-20
Q5460604,Wikipedia:List of articles all languages should have,2,2024-07-20
Q6173448,Wikipedia:Vital articles/Level/4,5,2024-07-21
Q5460604,Wikipedia:List of articles all languages should have,2,2024-07-21
Q6173448,Wikipedia:Vital articles/Level/4,5,2024-07-22
Q5460604,Wikipedia:List of articles all languages should have,2,2024-07-22
Q6173448,Wikipedia:Vital articles/Level/4,5,2024-07-23
Q5460604,Wikipedia:List of articles all languages should have,2,2024-07-23
Q6173448,Wikipedia:Vital articles/Level/4,5,2024-07-24
Q5460604,Wikipedia:List of articles all languages should have,2,2024-07-24
Q6173448,Wikipedia:Vital articles/Level/4,5,2024-07-25
Q5460604,Wikipedia:List of articles all languages should have,2,2024-07-25
Q6173448,Wikipedia:Vital articles/Level/4,5,2024-07-26
Q5460604,Wikipedia:List of articles all languages should have,2,2024-07-26
Q6173448,Wikipedia:Vital articles/Level/4,5,2024-07-27
Q5460604,Wikipedia:List of articles all languages should have,2,2024-07-27
Q6173448,Wikipedia:Vital articles/Level/4,5,2024-07-28
Q5460604,Wikipedia:List of articles all languages should have,2,2024-07-28
Q6173448,Wikipedia:Vital articles/Level/4,5,2024-07-29
Q5460604,Wikipedia:List of articles all languages should have,2,2024-07-29
Q6173448,Wikipedia:Vital articles/Level/4,5,2024-07-30
Q5460604,Wikipedia:List of articles all languages should have,2,2024-07-30
Q6173448,Wikipedia:Vital articles/Level/4,5,2024-07-31
Q5460604,Wikipedia:List of articles all languages should have,2,2024-07-31
Q6173448,Wikipedia:Vital articles/Level/4,5,2024-08-01
