item,itemLabel,count,date
Q6173448,Wikipedia:Vital articles/Level/4,40,2024-07-13
Q5460604,Wikipedia:List of articles all languages should have,29,2024-07-13
Q14942918,WikiProject Theatre,1,2024-07-13
Q110249806,WikiProject Craft,1,2024-07-13
Q10857957,WikiProject Linguistics,1,2024-07-13
Q15305047,WikiProject Climate change,1,2024-07-13
Q14943910,WikiProject Geology,1,2024-07-13
Q24909800,Art+Feminism,1,2024-07-13
Q15884720,WikiProject Engineering,1,2024-07-13
Q54439832,WikiProject Zika Corpus,1,2024-07-13
Q5830855,WikiProject Music,1,2024-07-13
Q59078555,Q59078555,1,2024-07-13
Q59956276,WikiProject Performing arts,1,2024-07-13
Q6526225,WikiProject Computer Science,1,2024-07-13
Q6723002,WikiProject Biology,1,2024-07-13
Q7212331,WikiProject Economics,1,2024-07-13
Q8001410,WikiProject Sports,1,2024-07-13
Q8485793,WikiProject Film,1,2024-07-13
Q8486941,WikiProject Law,1,2024-07-13
Q8487234,WikiProject Chemistry,1,2024-07-13
Q8503229,WikiProject Religion,1,2024-07-13
Q6173448,Wikipedia:Vital articles/Level/4,40,2024-07-14
Q5460604,Wikipedia:List of articles all languages should have,29,2024-07-14
Q14942918,WikiProject Theatre,1,2024-07-14
Q110249806,WikiProject Craft,1,2024-07-14
Q10857957,WikiProject Linguistics,1,2024-07-14
Q15305047,WikiProject Climate change,1,2024-07-14
Q14943910,WikiProject Geology,1,2024-07-14
Q24909800,Art+Feminism,1,2024-07-14
Q15884720,WikiProject Engineering,1,2024-07-14
Q54439832,WikiProject Zika Corpus,1,2024-07-14
Q5830855,WikiProject Music,1,2024-07-14
Q59078555,Q59078555,1,2024-07-14
Q59956276,WikiProject Performing arts,1,2024-07-14
Q6526225,WikiProject Computer Science,1,2024-07-14
Q6723002,WikiProject Biology,1,2024-07-14
Q7212331,WikiProject Economics,1,2024-07-14
Q8001410,WikiProject Sports,1,2024-07-14
Q8485793,WikiProject Film,1,2024-07-14
Q8486941,WikiProject Law,1,2024-07-14
Q8487234,WikiProject Chemistry,1,2024-07-14
Q8503229,WikiProject Religion,1,2024-07-14
Q6173448,Wikipedia:Vital articles/Level/4,40,2024-07-15
Q5460604,Wikipedia:List of articles all languages should have,29,2024-07-15
Q14942918,WikiProject Theatre,1,2024-07-15
Q110249806,WikiProject Craft,1,2024-07-15
Q10857957,WikiProject Linguistics,1,2024-07-15
Q15305047,WikiProject Climate change,1,2024-07-15
Q14943910,WikiProject Geology,1,2024-07-15
Q24909800,Art+Feminism,1,2024-07-15
Q15884720,WikiProject Engineering,1,2024-07-15
Q54439832,WikiProject Zika Corpus,1,2024-07-15
Q5830855,WikiProject Music,1,2024-07-15
Q59078555,Q59078555,1,2024-07-15
Q59956276,WikiProject Performing arts,1,2024-07-15
Q6526225,WikiProject Computer Science,1,2024-07-15
Q6723002,WikiProject Biology,1,2024-07-15
Q7212331,WikiProject Economics,1,2024-07-15
Q8001410,WikiProject Sports,1,2024-07-15
Q8485793,WikiProject Film,1,2024-07-15
Q8486941,WikiProject Law,1,2024-07-15
Q8487234,WikiProject Chemistry,1,2024-07-15
Q8503229,WikiProject Religion,1,2024-07-15
Q6173448,Wikipedia:Vital articles/Level/4,40,2024-07-16
Q5460604,Wikipedia:List of articles all languages should have,29,2024-07-16
