item,itemLabel,count,date
Q6173448,Wikipedia:Vital articles/Level/4,26,2024-07-13
Q5460604,Wikipedia:List of articles all languages should have,19,2024-07-13
Q54439832,WikiProject Zika Corpus,3,2024-07-13
Q60687720,gender gap on Dutch Wikipedia,2,2024-07-13
Q10653810,WikiProject World War II,1,2024-07-13
Q100137722,Wikiproject Nuremberg Trials,1,2024-07-13
Q104694359,WikiProject PCC Wikidata Pilot/Frick Art Reference Library,1,2024-07-13
Q15885086,WikiProject South Africa,1,2024-07-13
Q13382529,WikiProject Human Rights,1,2024-07-13
Q10858467,WikiProject Hinduism,1,2024-07-13
Q11037573,WikiProject India,1,2024-07-13
Q16917942,WikiProject Mexico,1,2024-07-13
Q24909800,Art+Feminism,1,2024-07-13
Q59078412,WikiProject French,1,2024-07-13
Q59078352,Wikipedia:WikiProject Berlin,1,2024-07-13
Q7160149,WikiProject Poland,1,2024-07-13
Q73852346,Wiki Loves Monuments in India,1,2024-07-13
Q8487137,WikiProject Mathematics,1,2024-07-13
Q8504015,WikiProject Japan,1,2024-07-13
