item,itemLabel,count,date
Q6173448,Wikipedia:Vital articles/Level/4,35,2025-01-01
Q5460604,Wikipedia:List of articles all languages should have,21,2025-01-01
Q15305047,WikiProject Climate change,2,2025-01-01
Q54439832,WikiProject Zika Corpus,2,2025-01-01
Q120754096,Wikidata: WikiProject Systemic Racism Knowledge Graph,1,2025-01-01
Q117222928,Wikidata: WikiProject Academic Publisher,1,2025-01-01
Q10857957,WikiProject Linguistics,1,2025-01-01
Q4099686,WikiProject Medicine,1,2025-01-01
Q14169262,WikiProject Schools,1,2025-01-01
Q13382529,WikiProject Human Rights,1,2025-01-01
Q60007664,WikiProject Narration,1,2025-01-01
Q8486648,WikiProject Education,1,2025-01-01
Q8486755,WikiProject Higher education,1,2025-01-01
Q8503932,WikiProject Oceania,1,2025-01-01
Q87748614,WikiProject COVID-19,1,2025-01-01
Q6173448,Wikipedia:Vital articles/Level/4,35,2025-01-02
Q5460604,Wikipedia:List of articles all languages should have,21,2025-01-02
Q15305047,WikiProject Climate change,2,2025-01-02
Q54439832,WikiProject Zika Corpus,2,2025-01-02
Q120754096,Wikidata: WikiProject Systemic Racism Knowledge Graph,1,2025-01-02
Q117222928,Wikidata: WikiProject Academic Publisher,1,2025-01-02
Q10857957,WikiProject Linguistics,1,2025-01-02
Q4099686,WikiProject Medicine,1,2025-01-02
Q14169262,WikiProject Schools,1,2025-01-02
Q13382529,WikiProject Human Rights,1,2025-01-02
Q60007664,WikiProject Narration,1,2025-01-02
Q8486648,WikiProject Education,1,2025-01-02
Q8486755,WikiProject Higher education,1,2025-01-02
Q8503932,WikiProject Oceania,1,2025-01-02
Q87748614,WikiProject COVID-19,1,2025-01-02
Q6173448,Wikipedia:Vital articles/Level/4,35,2025-01-03
Q5460604,Wikipedia:List of articles all languages should have,21,2025-01-03
Q15305047,WikiProject Climate change,2,2025-01-03
Q54439832,WikiProject Zika Corpus,2,2025-01-03
Q120754096,Wikidata: WikiProject Systemic Racism Knowledge Graph,1,2025-01-03
Q117222928,Wikidata: WikiProject Academic Publisher,1,2025-01-03
Q10857957,WikiProject Linguistics,1,2025-01-03
Q4099686,WikiProject Medicine,1,2025-01-03
Q14169262,WikiProject Schools,1,2025-01-03
Q13382529,WikiProject Human Rights,1,2025-01-03
Q60007664,WikiProject Narration,1,2025-01-03
Q8486648,WikiProject Education,1,2025-01-03
Q8486755,WikiProject Higher education,1,2025-01-03
Q8503932,WikiProject Oceania,1,2025-01-03
Q87748614,WikiProject COVID-19,1,2025-01-03
Q6173448,Wikipedia:Vital articles/Level/4,35,2025-01-04
Q5460604,Wikipedia:List of articles all languages should have,21,2025-01-04
Q15305047,WikiProject Climate change,2,2025-01-04
Q54439832,WikiProject Zika Corpus,2,2025-01-04
Q120754096,Wikidata: WikiProject Systemic Racism Knowledge Graph,1,2025-01-04
Q117222928,Wikidata: WikiProject Academic Publisher,1,2025-01-04
Q10857957,WikiProject Linguistics,1,2025-01-04
Q4099686,WikiProject Medicine,1,2025-01-04
Q14169262,WikiProject Schools,1,2025-01-04
Q13382529,WikiProject Human Rights,1,2025-01-04
Q60007664,WikiProject Narration,1,2025-01-04
Q8486648,WikiProject Education,1,2025-01-04
Q8486755,WikiProject Higher education,1,2025-01-04
Q8503932,WikiProject Oceania,1,2025-01-04
Q87748614,WikiProject COVID-19,1,2025-01-04
Q6173448,Wikipedia:Vital articles/Level/4,35,2025-01-05
Q5460604,Wikipedia:List of articles all languages should have,21,2025-01-05
Q15305047,WikiProject Climate change,2,2025-01-05
Q54439832,WikiProject Zika Corpus,2,2025-01-05
Q120754096,Wikidata: WikiProject Systemic Racism Knowledge Graph,1,2025-01-05
Q117222928,Wikidata: WikiProject Academic Publisher,1,2025-01-05
Q10857957,WikiProject Linguistics,1,2025-01-05
Q4099686,WikiProject Medicine,1,2025-01-05
Q14169262,WikiProject Schools,1,2025-01-05
Q13382529,WikiProject Human Rights,1,2025-01-05
Q60007664,WikiProject Narration,1,2025-01-05
Q8486648,WikiProject Education,1,2025-01-05
Q8486755,WikiProject Higher education,1,2025-01-05
Q8503932,WikiProject Oceania,1,2025-01-05
Q87748614,WikiProject COVID-19,1,2025-01-05
Q6173448,Wikipedia:Vital articles/Level/4,35,2025-01-06
Q5460604,Wikipedia:List of articles all languages should have,21,2025-01-06
Q54439832,WikiProject Zika Corpus,2,2025-01-06
Q15305047,WikiProject Climate change,2,2025-01-06
Q117222928,Wikidata: WikiProject Academic Publisher,1,2025-01-06
Q10740384,WikiProject Greece,1,2025-01-06
Q10857957,WikiProject Linguistics,1,2025-01-06
Q14169262,WikiProject Schools,1,2025-01-06
Q13382529,WikiProject Human Rights,1,2025-01-06
Q4099686,WikiProject Medicine,1,2025-01-06
Q120754096,Wikidata: WikiProject Systemic Racism Knowledge Graph,1,2025-01-06
Q26208713,WikiProject Classical Greece and Rome,1,2025-01-06
Q58824487,WikiProject Rome,1,2025-01-06
Q60007664,WikiProject Narration,1,2025-01-06
Q8485907,WikiProject Mythology,1,2025-01-06
Q8486648,WikiProject Education,1,2025-01-06
Q8486755,WikiProject Higher education,1,2025-01-06
Q8503932,WikiProject Oceania,1,2025-01-06
Q87748614,WikiProject COVID-19,1,2025-01-06
