item,itemLabel,count,date
Q6173448,Wikipedia:Vital articles/Level/4,8,2025-01-01
Q5460604,Wikipedia:List of articles all languages should have,2,2025-01-01
Q10780973,WikiProject Ukraine,2,2025-01-01
Q104694359,WikiProject PCC Wikidata Pilot/Frick Art Reference Library,1,2025-01-01
Q10781185,WikiProject Israel,1,2025-01-01
Q54439832,WikiProject Zika Corpus,1,2025-01-01
Q4587594,WikiProject Czech Republic,1,2025-01-01
Q68074438,WikiProject Livius,1,2025-01-01
Q87748614,WikiProject COVID-19,1,2025-01-01
Q6173448,Wikipedia:Vital articles/Level/4,6,2025-01-02
Q5460604,Wikipedia:List of articles all languages should have,2,2025-01-02
Q10780973,WikiProject Ukraine,2,2025-01-02
Q4587594,WikiProject Czech Republic,1,2025-01-02
Q10781185,WikiProject Israel,1,2025-01-02
Q54439832,WikiProject Zika Corpus,1,2025-01-02
Q87748614,WikiProject COVID-19,1,2025-01-02
Q6173448,Wikipedia:Vital articles/Level/4,5,2025-01-03
Q10780973,WikiProject Ukraine,2,2025-01-03
Q4587594,WikiProject Czech Republic,1,2025-01-03
Q54439832,WikiProject Zika Corpus,1,2025-01-03
Q5460604,Wikipedia:List of articles all languages should have,1,2025-01-03
Q87748614,WikiProject COVID-19,1,2025-01-03
Q6173448,Wikipedia:Vital articles/Level/4,5,2025-01-04
Q10780973,WikiProject Ukraine,2,2025-01-04
Q4587594,WikiProject Czech Republic,1,2025-01-04
Q54439832,WikiProject Zika Corpus,1,2025-01-04
Q5460604,Wikipedia:List of articles all languages should have,1,2025-01-04
Q87748614,WikiProject COVID-19,1,2025-01-04
