item,itemLabel,count,date
Q6173448,Wikipedia:Vital articles/Level/4,9,2024-07-13
Q5460604,Wikipedia:List of articles all languages should have,5,2024-07-13
Q11134020,WikiProject Brazil,1,2024-07-13
Q11034018,WikiProject Norway,1,2024-07-13
Q10816832,WikiProject France,1,2024-07-13
Q15092984,WikiProject LGBT studies,1,2024-07-13
Q15079710,WikiProject Athletics,1,2024-07-13
Q15304953,WikiProject African diaspora,1,2024-07-13
Q15294983,WikiProject Constructed languages,1,2024-07-13
Q54439832,WikiProject Zika Corpus,1,2024-07-13
Q75992575,Sami women,1,2024-07-13
Q78499962,WikiForHumanRights 2019,1,2024-07-13
Q8487081,WikiProject Books,1,2024-07-13
Q6173448,Wikipedia:Vital articles/Level/4,9,2024-07-14
Q5460604,Wikipedia:List of articles all languages should have,5,2024-07-14
Q11134020,WikiProject Brazil,1,2024-07-14
Q11034018,WikiProject Norway,1,2024-07-14
Q10816832,WikiProject France,1,2024-07-14
Q15092984,WikiProject LGBT studies,1,2024-07-14
Q15079710,WikiProject Athletics,1,2024-07-14
Q15304953,WikiProject African diaspora,1,2024-07-14
Q15294983,WikiProject Constructed languages,1,2024-07-14
Q54439832,WikiProject Zika Corpus,1,2024-07-14
Q75992575,Sami women,1,2024-07-14
Q78499962,WikiForHumanRights 2019,1,2024-07-14
Q8487081,WikiProject Books,1,2024-07-14
Q6173448,Wikipedia:Vital articles/Level/4,8,2024-07-15
Q5460604,Wikipedia:List of articles all languages should have,5,2024-07-15
Q10816832,WikiProject France,1,2024-07-15
Q11134020,WikiProject Brazil,1,2024-07-15
Q15092984,WikiProject LGBT studies,1,2024-07-15
Q15079710,WikiProject Athletics,1,2024-07-15
Q15304953,WikiProject African diaspora,1,2024-07-15
Q15294983,WikiProject Constructed languages,1,2024-07-15
Q54439832,WikiProject Zika Corpus,1,2024-07-15
Q75992575,Sami women,1,2024-07-15
Q78499962,WikiForHumanRights 2019,1,2024-07-15
Q8487081,WikiProject Books,1,2024-07-15
Q6173448,Wikipedia:Vital articles/Level/4,8,2024-07-16
Q5460604,Wikipedia:List of articles all languages should have,5,2024-07-16
Q10816832,WikiProject France,1,2024-07-16
Q11134020,WikiProject Brazil,1,2024-07-16
Q15092984,WikiProject LGBT studies,1,2024-07-16
Q15079710,WikiProject Athletics,1,2024-07-16
Q15304953,WikiProject African diaspora,1,2024-07-16
Q15294983,WikiProject Constructed languages,1,2024-07-16
Q54439832,WikiProject Zika Corpus,1,2024-07-16
Q75992575,Sami women,1,2024-07-16
Q78499962,WikiForHumanRights 2019,1,2024-07-16
Q8487081,WikiProject Books,1,2024-07-16
Q6173448,Wikipedia:Vital articles/Level/4,8,2024-07-17
Q5460604,Wikipedia:List of articles all languages should have,5,2024-07-17
Q10816832,WikiProject France,1,2024-07-17
Q11134020,WikiProject Brazil,1,2024-07-17
Q15092984,WikiProject LGBT studies,1,2024-07-17
Q15079710,WikiProject Athletics,1,2024-07-17
Q15304953,WikiProject African diaspora,1,2024-07-17
Q15294983,WikiProject Constructed languages,1,2024-07-17
Q54439832,WikiProject Zika Corpus,1,2024-07-17
Q75992575,Sami women,1,2024-07-17
Q78499962,WikiForHumanRights 2019,1,2024-07-17
Q8487081,WikiProject Books,1,2024-07-17
Q6173448,Wikipedia:Vital articles/Level/4,8,2024-07-18
Q5460604,Wikipedia:List of articles all languages should have,5,2024-07-18
Q10816832,WikiProject France,1,2024-07-18
Q11134020,WikiProject Brazil,1,2024-07-18
Q15092984,WikiProject LGBT studies,1,2024-07-18
Q15079710,WikiProject Athletics,1,2024-07-18
Q15304953,WikiProject African diaspora,1,2024-07-18
Q15294983,WikiProject Constructed languages,1,2024-07-18
Q54439832,WikiProject Zika Corpus,1,2024-07-18
Q75992575,Sami women,1,2024-07-18
Q78499962,WikiForHumanRights 2019,1,2024-07-18
Q8487081,WikiProject Books,1,2024-07-18
Q6173448,Wikipedia:Vital articles/Level/4,8,2024-07-19
Q5460604,Wikipedia:List of articles all languages should have,5,2024-07-19
Q10816832,WikiProject France,1,2024-07-19
Q11134020,WikiProject Brazil,1,2024-07-19
Q15092984,WikiProject LGBT studies,1,2024-07-19
Q15079710,WikiProject Athletics,1,2024-07-19
Q15304953,WikiProject African diaspora,1,2024-07-19
Q15294983,WikiProject Constructed languages,1,2024-07-19
Q54439832,WikiProject Zika Corpus,1,2024-07-19
Q75992575,Sami women,1,2024-07-19
Q78499962,WikiForHumanRights 2019,1,2024-07-19
Q8487081,WikiProject Books,1,2024-07-19
Q6173448,Wikipedia:Vital articles/Level/4,8,2024-07-20
Q5460604,Wikipedia:List of articles all languages should have,5,2024-07-20
Q10816832,WikiProject France,1,2024-07-20
Q11134020,WikiProject Brazil,1,2024-07-20
Q15092984,WikiProject LGBT studies,1,2024-07-20
Q15079710,WikiProject Athletics,1,2024-07-20
Q15304953,WikiProject African diaspora,1,2024-07-20
Q15294983,WikiProject Constructed languages,1,2024-07-20
Q54439832,WikiProject Zika Corpus,1,2024-07-20
Q75992575,Sami women,1,2024-07-20
Q78499962,WikiForHumanRights 2019,1,2024-07-20
Q8487081,WikiProject Books,1,2024-07-20
Q6173448,Wikipedia:Vital articles/Level/4,8,2024-07-21
Q5460604,Wikipedia:List of articles all languages should have,5,2024-07-21
Q10816832,WikiProject France,1,2024-07-21
Q11134020,WikiProject Brazil,1,2024-07-21
Q15092984,WikiProject LGBT studies,1,2024-07-21
Q15079710,WikiProject Athletics,1,2024-07-21
Q15304953,WikiProject African diaspora,1,2024-07-21
Q15294983,WikiProject Constructed languages,1,2024-07-21
Q54439832,WikiProject Zika Corpus,1,2024-07-21
Q75992575,Sami women,1,2024-07-21
Q78499962,WikiForHumanRights 2019,1,2024-07-21
Q8487081,WikiProject Books,1,2024-07-21
Q6173448,Wikipedia:Vital articles/Level/4,8,2024-07-22
Q5460604,Wikipedia:List of articles all languages should have,5,2024-07-22
Q10816832,WikiProject France,1,2024-07-22
Q11134020,WikiProject Brazil,1,2024-07-22
Q15092984,WikiProject LGBT studies,1,2024-07-22
Q15079710,WikiProject Athletics,1,2024-07-22
Q15304953,WikiProject African diaspora,1,2024-07-22
Q15294983,WikiProject Constructed languages,1,2024-07-22
Q54439832,WikiProject Zika Corpus,1,2024-07-22
Q75992575,Sami women,1,2024-07-22
Q78499962,WikiForHumanRights 2019,1,2024-07-22
Q8487081,WikiProject Books,1,2024-07-22
Q6173448,Wikipedia:Vital articles/Level/4,8,2024-07-23
Q5460604,Wikipedia:List of articles all languages should have,5,2024-07-23
Q10816832,WikiProject France,1,2024-07-23
Q11134020,WikiProject Brazil,1,2024-07-23
Q15092984,WikiProject LGBT studies,1,2024-07-23
Q15079710,WikiProject Athletics,1,2024-07-23
Q15304953,WikiProject African diaspora,1,2024-07-23
Q15294983,WikiProject Constructed languages,1,2024-07-23
Q54439832,WikiProject Zika Corpus,1,2024-07-23
Q75992575,Sami women,1,2024-07-23
Q78499962,WikiForHumanRights 2019,1,2024-07-23
Q8487081,WikiProject Books,1,2024-07-23
Q6173448,Wikipedia:Vital articles/Level/4,8,2024-07-24
Q5460604,Wikipedia:List of articles all languages should have,5,2024-07-24
Q10816832,WikiProject France,1,2024-07-24
Q11134020,WikiProject Brazil,1,2024-07-24
Q15092984,WikiProject LGBT studies,1,2024-07-24
Q15079710,WikiProject Athletics,1,2024-07-24
Q15304953,WikiProject African diaspora,1,2024-07-24
Q15294983,WikiProject Constructed languages,1,2024-07-24
Q54439832,WikiProject Zika Corpus,1,2024-07-24
Q75992575,Sami women,1,2024-07-24
Q78499962,WikiForHumanRights 2019,1,2024-07-24
Q8487081,WikiProject Books,1,2024-07-24
Q6173448,Wikipedia:Vital articles/Level/4,12,2024-07-25
Q5460604,Wikipedia:List of articles all languages should have,6,2024-07-25
Q54439832,WikiProject Zika Corpus,2,2024-07-25
Q10816832,WikiProject France,1,2024-07-25
Q15079710,WikiProject Athletics,1,2024-07-25
Q11134020,WikiProject Brazil,1,2024-07-25
Q11755826,WikiProject Denmark,1,2024-07-25
Q13341439,WikiProject Greenland,1,2024-07-25
Q15304953,WikiProject African diaspora,1,2024-07-25
Q15294983,WikiProject Constructed languages,1,2024-07-25
Q15092984,WikiProject LGBT studies,1,2024-07-25
Q57005414,Eesti 1000,1,2024-07-25
Q75992575,Sami women,1,2024-07-25
Q78499962,WikiForHumanRights 2019,1,2024-07-25
Q8407597,WikiProject Estonia,1,2024-07-25
Q8487081,WikiProject Books,1,2024-07-25
Q6173448,Wikipedia:Vital articles/Level/4,12,2024-07-26
Q5460604,Wikipedia:List of articles all languages should have,6,2024-07-26
Q54439832,WikiProject Zika Corpus,2,2024-07-26
Q10816832,WikiProject France,1,2024-07-26
Q15079710,WikiProject Athletics,1,2024-07-26
Q11134020,WikiProject Brazil,1,2024-07-26
Q11755826,WikiProject Denmark,1,2024-07-26
Q13341439,WikiProject Greenland,1,2024-07-26
Q15304953,WikiProject African diaspora,1,2024-07-26
Q15294983,WikiProject Constructed languages,1,2024-07-26
Q15092984,WikiProject LGBT studies,1,2024-07-26
Q57005414,Eesti 1000,1,2024-07-26
Q75992575,Sami women,1,2024-07-26
Q78499962,WikiForHumanRights 2019,1,2024-07-26
Q8407597,WikiProject Estonia,1,2024-07-26
Q8487081,WikiProject Books,1,2024-07-26
