item,itemLabel,count,date
Q6173448,Wikipedia:Vital articles/Level/4,19,2024-07-13
Q5460604,Wikipedia:List of articles all languages should have,14,2024-07-13
Q4099686,WikiProject Medicine,2,2024-07-13
Q112898263,WikiProject Intangible Cultural Heritage,1,2024-07-13
Q15885086,WikiProject South Africa,1,2024-07-13
Q15304953,WikiProject African diaspora,1,2024-07-13
Q54439832,WikiProject Zika Corpus,1,2024-07-13
Q120754096,Wikidata: WikiProject Systemic Racism Knowledge Graph,1,2024-07-13
Q5830855,WikiProject Music,1,2024-07-13
Q6723002,WikiProject Biology,1,2024-07-13
Q8001410,WikiProject Sports,1,2024-07-13
Q8485990,WikiProject Food and drink,1,2024-07-13
Q8486648,WikiProject Education,1,2024-07-13
Q8486980,WikiProject Languages,1,2024-07-13
Q8503311,WikiProject Philosophy,1,2024-07-13
Q87748614,WikiProject COVID-19,1,2024-07-13
Q6173448,Wikipedia:Vital articles/Level/4,19,2024-07-14
Q5460604,Wikipedia:List of articles all languages should have,14,2024-07-14
Q4099686,WikiProject Medicine,2,2024-07-14
Q112898263,WikiProject Intangible Cultural Heritage,1,2024-07-14
Q15885086,WikiProject South Africa,1,2024-07-14
Q15304953,WikiProject African diaspora,1,2024-07-14
Q54439832,WikiProject Zika Corpus,1,2024-07-14
Q120754096,Wikidata: WikiProject Systemic Racism Knowledge Graph,1,2024-07-14
Q5830855,WikiProject Music,1,2024-07-14
Q6723002,WikiProject Biology,1,2024-07-14
Q8001410,WikiProject Sports,1,2024-07-14
Q8485990,WikiProject Food and drink,1,2024-07-14
Q8486648,WikiProject Education,1,2024-07-14
Q8486980,WikiProject Languages,1,2024-07-14
Q8503311,WikiProject Philosophy,1,2024-07-14
Q87748614,WikiProject COVID-19,1,2024-07-14
Q6173448,Wikipedia:Vital articles/Level/4,19,2024-07-15
Q5460604,Wikipedia:List of articles all languages should have,14,2024-07-15
Q4099686,WikiProject Medicine,2,2024-07-15
Q112898263,WikiProject Intangible Cultural Heritage,1,2024-07-15
Q15885086,WikiProject South Africa,1,2024-07-15
Q15304953,WikiProject African diaspora,1,2024-07-15
Q54439832,WikiProject Zika Corpus,1,2024-07-15
Q120754096,Wikidata: WikiProject Systemic Racism Knowledge Graph,1,2024-07-15
Q5830855,WikiProject Music,1,2024-07-15
Q6723002,WikiProject Biology,1,2024-07-15
Q8001410,WikiProject Sports,1,2024-07-15
Q8485990,WikiProject Food and drink,1,2024-07-15
Q8486648,WikiProject Education,1,2024-07-15
Q8486980,WikiProject Languages,1,2024-07-15
Q8503311,WikiProject Philosophy,1,2024-07-15
Q87748614,WikiProject COVID-19,1,2024-07-15
Q6173448,Wikipedia:Vital articles/Level/4,19,2024-07-16
Q5460604,Wikipedia:List of articles all languages should have,14,2024-07-16
Q4099686,WikiProject Medicine,2,2024-07-16
Q112898263,WikiProject Intangible Cultural Heritage,1,2024-07-16
Q15885086,WikiProject South Africa,1,2024-07-16
Q15304953,WikiProject African diaspora,1,2024-07-16
Q54439832,WikiProject Zika Corpus,1,2024-07-16
Q120754096,Wikidata: WikiProject Systemic Racism Knowledge Graph,1,2024-07-16
Q5830855,WikiProject Music,1,2024-07-16
Q6723002,WikiProject Biology,1,2024-07-16
Q8001410,WikiProject Sports,1,2024-07-16
Q8485990,WikiProject Food and drink,1,2024-07-16
Q8486648,WikiProject Education,1,2024-07-16
Q8486980,WikiProject Languages,1,2024-07-16
Q8503311,WikiProject Philosophy,1,2024-07-16
Q87748614,WikiProject COVID-19,1,2024-07-16
