item,itemLabel,count,date
Q15304953,WikiProject African diaspora,1,2025-01-01
Q15304953,WikiProject African diaspora,1,2025-01-02
Q15304953,WikiProject African diaspora,1,2025-01-03
Q15304953,WikiProject African diaspora,1,2025-01-04
Q15304953,WikiProject African diaspora,1,2025-01-05
Q15304953,WikiProject African diaspora,1,2025-01-06
Q15304953,WikiProject African diaspora,1,2025-01-07
Q15304953,WikiProject African diaspora,1,2025-01-08
Q15304953,WikiProject African diaspora,1,2025-01-09
Q15304953,WikiProject African diaspora,1,2025-01-10
Q15304953,WikiProject African diaspora,1,2025-01-11
Q15304953,WikiProject African diaspora,1,2025-01-12
Q15304953,WikiProject African diaspora,1,2025-01-13
Q15304953,WikiProject African diaspora,1,2025-01-14
Q15304953,WikiProject African diaspora,1,2025-01-15
Q15304953,WikiProject African diaspora,1,2025-01-16
Q15304953,WikiProject African diaspora,1,2025-01-17
