item,itemLabel,count,date
Q54439832,WikiProject Zika Corpus,1,2025-01-01
Q6173448,Wikipedia:Vital articles/Level/4,1,2025-01-01
Q54439832,WikiProject Zika Corpus,1,2025-01-02
Q6173448,Wikipedia:Vital articles/Level/4,1,2025-01-02
Q54439832,WikiProject Zika Corpus,1,2025-01-03
Q6173448,Wikipedia:Vital articles/Level/4,1,2025-01-03
Q54439832,WikiProject Zika Corpus,1,2025-01-04
Q6173448,Wikipedia:Vital articles/Level/4,1,2025-01-04
Q54439832,WikiProject Zika Corpus,1,2025-01-05
Q6173448,Wikipedia:Vital articles/Level/4,1,2025-01-05
Q54439832,WikiProject Zika Corpus,1,2025-01-06
Q6173448,Wikipedia:Vital articles/Level/4,1,2025-01-06
Q54439832,WikiProject Zika Corpus,1,2025-01-07
Q6173448,Wikipedia:Vital articles/Level/4,1,2025-01-07
Q54439832,WikiProject Zika Corpus,1,2025-01-08
Q6173448,Wikipedia:Vital articles/Level/4,1,2025-01-08
Q54439832,WikiProject Zika Corpus,1,2025-01-09
Q6173448,Wikipedia:Vital articles/Level/4,1,2025-01-09
Q54439832,WikiProject Zika Corpus,1,2025-01-10
Q6173448,Wikipedia:Vital articles/Level/4,1,2025-01-10
Q54439832,WikiProject Zika Corpus,1,2025-01-11
Q6173448,Wikipedia:Vital articles/Level/4,1,2025-01-11
Q54439832,WikiProject Zika Corpus,1,2025-01-12
Q6173448,Wikipedia:Vital articles/Level/4,1,2025-01-12
Q54439832,WikiProject Zika Corpus,1,2025-01-13
Q6173448,Wikipedia:Vital articles/Level/4,1,2025-01-13
Q54439832,WikiProject Zika Corpus,1,2025-01-14
Q6173448,Wikipedia:Vital articles/Level/4,1,2025-01-14
Q54439832,WikiProject Zika Corpus,1,2025-01-15
Q6173448,Wikipedia:Vital articles/Level/4,1,2025-01-15
Q54439832,WikiProject Zika Corpus,1,2025-01-16
Q6173448,Wikipedia:Vital articles/Level/4,1,2025-01-16
Q54439832,WikiProject Zika Corpus,1,2025-01-17
Q6173448,Wikipedia:Vital articles/Level/4,1,2025-01-17
Q54439832,WikiProject Zika Corpus,1,2025-01-18
Q6173448,Wikipedia:Vital articles/Level/4,1,2025-01-18
Q54439832,WikiProject Zika Corpus,1,2025-01-19
Q6173448,Wikipedia:Vital articles/Level/4,1,2025-01-19
Q54439832,WikiProject Zika Corpus,1,2025-01-20
Q6173448,Wikipedia:Vital articles/Level/4,1,2025-01-20
Q54439832,WikiProject Zika Corpus,1,2025-01-21
Q6173448,Wikipedia:Vital articles/Level/4,1,2025-01-21
Q54439832,WikiProject Zika Corpus,1,2025-01-22
Q6173448,Wikipedia:Vital articles/Level/4,1,2025-01-22
Q54439832,WikiProject Zika Corpus,1,2025-01-23
Q6173448,Wikipedia:Vital articles/Level/4,1,2025-01-23
Q54439832,WikiProject Zika Corpus,1,2025-01-24
Q6173448,Wikipedia:Vital articles/Level/4,1,2025-01-24
Q54439832,WikiProject Zika Corpus,1,2025-01-25
Q6173448,Wikipedia:Vital articles/Level/4,1,2025-01-25
Q54439832,WikiProject Zika Corpus,1,2025-01-26
Q6173448,Wikipedia:Vital articles/Level/4,1,2025-01-26
Q54439832,WikiProject Zika Corpus,1,2025-01-27
Q6173448,Wikipedia:Vital articles/Level/4,1,2025-01-27
Q54439832,WikiProject Zika Corpus,1,2025-01-28
Q6173448,Wikipedia:Vital articles/Level/4,1,2025-01-28
Q54439832,WikiProject Zika Corpus,1,2025-01-29
Q6173448,Wikipedia:Vital articles/Level/4,1,2025-01-29
Q54439832,WikiProject Zika Corpus,1,2025-01-30
Q6173448,Wikipedia:Vital articles/Level/4,1,2025-01-30
Q54439832,WikiProject Zika Corpus,1,2025-01-31
Q6173448,Wikipedia:Vital articles/Level/4,1,2025-01-31
Q54439832,WikiProject Zika Corpus,1,2025-02-01
Q6173448,Wikipedia:Vital articles/Level/4,1,2025-02-01
Q54439832,WikiProject Zika Corpus,1,2025-02-02
Q6173448,Wikipedia:Vital articles/Level/4,1,2025-02-02
Q54439832,WikiProject Zika Corpus,1,2025-02-03
Q6173448,Wikipedia:Vital articles/Level/4,1,2025-02-03
Q54439832,WikiProject Zika Corpus,1,2025-02-04
Q6173448,Wikipedia:Vital articles/Level/4,1,2025-02-04
Q54439832,WikiProject Zika Corpus,1,2025-02-05
Q6173448,Wikipedia:Vital articles/Level/4,1,2025-02-05
Q54439832,WikiProject Zika Corpus,1,2025-02-06
Q6173448,Wikipedia:Vital articles/Level/4,1,2025-02-06
Q54439832,WikiProject Zika Corpus,1,2025-02-07
Q6173448,Wikipedia:Vital articles/Level/4,1,2025-02-07
Q54439832,WikiProject Zika Corpus,1,2025-02-08
Q6173448,Wikipedia:Vital articles/Level/4,1,2025-02-08
Q54439832,WikiProject Zika Corpus,1,2025-02-09
Q6173448,Wikipedia:Vital articles/Level/4,1,2025-02-09
Q54439832,WikiProject Zika Corpus,1,2025-02-10
Q6173448,Wikipedia:Vital articles/Level/4,1,2025-02-10
Q54439832,WikiProject Zika Corpus,1,2025-02-11
Q6173448,Wikipedia:Vital articles/Level/4,1,2025-02-11
Q54439832,WikiProject Zika Corpus,1,2025-02-12
Q6173448,Wikipedia:Vital articles/Level/4,1,2025-02-12
Q54439832,WikiProject Zika Corpus,1,2025-02-13
Q6173448,Wikipedia:Vital articles/Level/4,1,2025-02-13
Q54439832,WikiProject Zika Corpus,1,2025-02-14
Q6173448,Wikipedia:Vital articles/Level/4,1,2025-02-14
Q54439832,WikiProject Zika Corpus,1,2025-02-15
Q6173448,Wikipedia:Vital articles/Level/4,1,2025-02-15
Q54439832,WikiProject Zika Corpus,1,2025-02-16
Q6173448,Wikipedia:Vital articles/Level/4,1,2025-02-16
Q54439832,WikiProject Zika Corpus,1,2025-02-17
Q6173448,Wikipedia:Vital articles/Level/4,1,2025-02-17
